"INFO:__main__:""how about during a typical day . is it better during the morning ? at night ? or in the middle of the tomorrow"""	positive	1.5090646744	0.5981815457	0.9108831286	n	n	is the pain worse morning or night	how about during a typical day . is it better during the morning ? at night ? or in the middle of the day	day	tomorrow	how about during a typical day . is it better during the morning ? at night ? or in the middle of the tomorrow	False	0.0770300734
"INFO:__main__:""i see . a week is quite a long time to have to have this kind of pain . has it been worsening since it came"""	positive	1.3566431999	0.647431314	0.7092118859	y	y	is the pain improving	i see . a week is quite a long time to have to have this kind of pain . has it been worsening since it started	started	came	i see . a week is quite a long time to have to have this kind of pain . has it been worsening since it came	False	-0.0440559809
"INFO:__main__:""is there a history of heart issues in your family"""	positive	1.3068393469	0.0916983932	1.2151409537	y	y	any heart problems in your family	is there a history of heart problems in your family	problems	issues	is there a history of heart issues in your family	False	0.0475810342
"INFO:__main__:""what kinds of medication would you mind"""	positive	1.2497276068	-0.3681813478	1.6179089546	n	y	what kind of medicine is that	what kinds of medication would you like	like	mind	what kinds of medication would you mind	False	0.0226316747
"INFO:__main__:""how increasingly do you have bowel movements"""	positive	1.2199112177	-0.2055195719	1.4254307896	n	n	when was your last bowel movement	how often do you have bowel movements	often	increasingly	how increasingly do you have bowel movements	False	0.0362079793
"INFO:__main__:""ok , and that concerns you because you ca n't make"""	positive	1.2116979361	-0.2201631963	1.4318611324	n	n	what concerns you about the pain	ok , and that concerns you because you ca n't work	work	make	ok , and that concerns you because you ca n't make	False	-0.0694547166
"INFO:__main__:""hello mr. wilkis . my name is student doctor lindsay mlynarek and i 'll be working with your physician as way of your care team today"""	positive	1.1951860189	-0.1924321353	1.3876181543	n	n	the doctor will be in	hello mr. wilkis . my name is student doctor lindsay mlynarek and i 'll be working with your physician as part of your care team today	part	way	hello mr. wilkis . my name is student doctor lindsay mlynarek and i 'll be working with your physician as way of your care team today	False	-0.0322681155
"INFO:__main__:""sorry , i 'm sorry to hear that . about how long has the pain persisted"""	positive	1.1534738541	-0.264157027	1.4176308811	y	y	how long have you had the pain	okay , i 'm sorry to hear that . about how long has the pain persisted	okay	sorry	sorry , i 'm sorry to hear that . about how long has the pain persisted	True	-0.0841889556
"INFO:__main__:""does the stitch impair you in your life"""	positive	1.1422314644	-0.3413015306	1.483532995	n	y	has the pain stopped you from doing anything	does the pain impair you in your life	pain	stitch	does the stitch impair you in your life	False	0.21952335
"INFO:__main__:""have you noticed and redness or irritation at that site"""	positive	1.1306487322	-0.1292742789	1.2599230111	n	y	have you noticed any physical changes	have you noticed and redness or itching at that site	itching	irritation	have you noticed and redness or irritation at that site	False	-0.0593034806
"INFO:__main__:""how is the pain now set to when it started"""	positive	1.0940870047	-0.1112834886	1.2053704932	n	n	has the pain become worse or better	how is the pain now compared to when it started	compared	set	how is the pain now set to when it started	False	-0.0579192167
"INFO:__main__:""hi mr. wililkns , my name is nik dansez and i am a medical student , i will be taking your meidcal history today"""	positive	1.0665718317	0.4983457327	0.568226099	y	n	mr.	hi mr. wililkns , my name is nik sarac and i am a medical student , i will be taking your meidcal history today	sarac	dansez	hi mr. wililkns , my name is nik dansez and i am a medical student , i will be taking your meidcal history today	False	-0.487417297
"INFO:__main__:""how were things at work before your back burn occurred"""	positive	1.0599257946	-0.2133633196	1.2732891142	n	p	have you had back injury before	how were things at work before your back injury occurred	injury	burn	how were things at work before your back burn occurred	False	-0.0151609815
"INFO:__main__:""was it a quick facie , or did it occur after"""	positive	1.0467017889	-0.3243514597	1.3710532486	n	n	was the onset sudden	was it a quick onset , or did it occur after	onset	facie	was it a quick facie , or did it occur after	False	0.2789835633
"INFO:__main__:""how often do you have bowel moves"""	positive	1.0443603992	-0.4743382931	1.5186986923	n	n	when was your last bowel movement	how often do you have bowel movements	movements	moves	how often do you have bowel moves	False	0.1071012421
"INFO:__main__:""do you not think about hurting yourself or others"""	positive	1.0443546772	0.4780425131	0.5663121641	y	y	are you suicidal	do you ever think about hurting yourself or others	ever	not	do you not think about hurting yourself or others	False	0.0103651049
"INFO:__main__:""ok , we will move on to the physcial exam now . anything more you want me to know before we come on"""	positive	1.0433397293	-0.4627616107	1.5061013401	n	n	do an exam now	ok , we will move on to the physcial exam now . anything more you want me to know before we move on	move	come	ok , we will move on to the physcial exam now . anything more you want me to know before we come on	False	-0.0441620424
"INFO:__main__:""how about during a typical day . is it better during the friday ? at night ? or in the middle of the day"""	positive	1.0390882492	-0.3186763525	1.3577646017	n	n	is the pain worse morning or night	how about during a typical day . is it better during the morning ? at night ? or in the middle of the day	morning	friday	how about during a typical day . is it better during the friday ? at night ? or in the middle of the day	False	0.0364874232
"INFO:__main__:""does the torment impair you in your life"""	positive	1.0187644958	-0.1249309927	1.1436954886	n	p	has the pain stopped you from doing anything	does the pain impair you in your life	pain	torment	does the torment impair you in your life	False	0.0444406237
"INFO:__main__:""how were things at work before your back destruction occurred"""	positive	1.0187008381	-0.0171947964	1.0358956344	n	y	have you had back injury before	how were things at work before your back injury occurred	injury	destruction	how were things at work before your back destruction occurred	False	-0.0020822633
"INFO:__main__:""how is the pain now compared to when it added"""	positive	1.0058114529	0.6791750193	0.3266364336	n	n	has the pain become worse or better	how is the pain now compared to when it started	started	added	how is the pain now compared to when it added	False	-0.0415735279
"INFO:__main__:""how steadily do you have bowel movements"""	positive	0.9931598902	0.0459831432	0.947176747	n	y	when was your last bowel movement	how often do you have bowel movements	often	steadily	how steadily do you have bowel movements	False	0.0848653973
"INFO:__main__:""hey , i 'm sure your back pain is really disruptive for your work then !"""	positive	0.9920144081	-0.6594976783	1.6515120864	n	y	does the pain interfere with work	wow , i 'm sure your back pain is really disruptive for your work then !	wow	hey	hey , i 'm sure your back pain is really disruptive for your work then !	False	-0.0718235431
"INFO:__main__:""wow ! it was so nice of you to help him out but i 'm sure that 's not what you liked the outcome to be !"""	positive	0.9765220284	-0.7065300941	1.6830521226	n	p	the doctor will be in	wow ! it was so nice of you to help him out but i 'm sure that 's not what you expected the outcome to be !	expected	liked	wow ! it was so nice of you to help him out but i 'm sure that 's not what you liked the outcome to be !	False	-0.0656988599
